#{"t_start": 1762005730.807765, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,78.280091
-200.0,200,78.559845
-200.0,200,78.837841
-200.0,200,79.134841
-200.0,200,79.41567
-200.0,200,79.699638
-200.0,200,79.976998
-200.0,200,80.255162
-200.0,200,80.534617
-200.0,200,80.820054
-200.0,200,81.099675
-200.0,200,81.39613
-200.0,200,81.694991
-200.0,200,81.988072
-200.0,200,82.282808
-200.0,200,82.57233
-200.0,200,82.860226
-200.0,200,83.14682
-200.0,200,83.430289
-200.0,200,83.711794
-200.0,200,83.990638
-200.0,200,84.266906
-200.0,200,84.54781
-200.0,200,84.846932
-200.0,200,85.126838
-200.0,200,85.418072
-200.0,200,85.70295
-200.0,200,85.988919
-200.0,200,86.272568
-200.0,200,86.554088
-200.0,200,86.835437
-200.0,200,87.121494
-200.0,200,87.402183
-200.0,200,87.684325
-200.0,200,87.962178
-200.0,200,88.257748
-200.0,200,88.537937
-200.0,200,88.819484
-200.0,200,89.10683
-200.0,200,89.387374
-200.0,200,89.668532
-200.0,200,89.948606
-200.0,200,90.230595
-200.0,200,90.514452
-200.0,200,90.798504
-200.0,200,91.096405
-200.0,200,91.382761
-200.0,200,91.671603
-149.0,149,91.881599
-200.0,200,92.172677
-200.0,200,92.464077
-200.0,200,92.753498
-200.0,200,93.040909
-200.0,200,93.325412
-200.0,200,93.612721
-200.0,200,93.898132
-200.0,200,94.183227
-200.0,200,94.467115
-200.0,200,94.747152
-200.0,200,95.034064
-200.0,200,95.314919
-200.0,200,95.592071
-200.0,200,95.872136
-200.0,200,96.158692
-200.0,200,96.450704
-200.0,200,96.743771
-200.0,200,97.03565
-200.0,200,97.323702
-200.0,200,97.611932
-200.0,200,97.902099
-200.0,200,98.190595
-200.0,200,98.469727
-200.0,200,98.746202
-200.0,200,99.032467
-200.0,200,99.319402
-200.0,200,99.610446
-200.0,200,99.892399
-200.0,200,100.180897
-200.0,200,100.46637
-200.0,200,100.747062
-200.0,200,101.039191
-200.0,200,101.329882
-200.0,200,101.613514
-200.0,200,101.905399
-200.0,200,102.19595
-200.0,200,102.499706
-200.0,200,102.791853
-200.0,200,103.086926
-193.0,193,103.364453
-200.0,200,103.647405
-200.0,200,103.92838
-200.0,200,104.219439
-200.0,200,104.513594
-200.0,200,104.81143
-200.0,200,105.094395
-200.0,200,105.379227
-200.0,200,105.670123
-200.0,200,105.966882
-200.0,200,106.250163
-200.0,200,106.536056
-200.0,200,106.832416
-200.0,200,107.11055
-200.0,200,107.390916
-200.0,200,107.681077
-200.0,200,107.955423
-200.0,200,108.233615
-200.0,200,108.51506
-200.0,200,108.7984
-200.0,200,109.081114
-200.0,200,109.367998
-200.0,200,109.650396
-200.0,200,109.933322
-200.0,200,110.222646
-200.0,200,110.513561
-200.0,200,110.79484
-200.0,200,111.079162
-200.0,200,111.358029
-200.0,200,111.635657
-200.0,200,111.909429
-200.0,200,112.192384
-200.0,200,112.473774
-200.0,200,112.754212
-200.0,200,113.03814
-200.0,200,113.32162
-200.0,200,113.598063
-200.0,200,113.88141
-200.0,200,114.165077
-200.0,200,114.446234
-200.0,200,114.72729
-200.0,200,115.004498
-200.0,200,115.291121
-200.0,200,115.565965
-200.0,200,115.843801
-200.0,200,116.126031
-200.0,200,116.403254
-200.0,200,116.679495
-200.0,200,116.961293
-200.0,200,117.25614
-200.0,200,117.541592
-200.0,200,117.822731
-200.0,200,118.097295
-200.0,200,118.376122
-200.0,200,118.656999
-200.0,200,118.935214
-200.0,200,119.217119
-200.0,200,119.509418
-200.0,200,119.800198
-200.0,200,120.077972
-200.0,200,120.358461
-200.0,200,120.647148
-200.0,200,120.92636
-200.0,200,121.211772
-200.0,200,121.496449
-200.0,200,121.788898
-200.0,200,122.070158
-200.0,200,122.345965
-200.0,200,122.622236
-200.0,200,122.902761
-200.0,200,123.181945
-200.0,200,123.458658
-200.0,200,123.736539
-200.0,200,124.015911
-200.0,200,124.297154
-200.0,200,124.577498
-200.0,200,124.859673
-200.0,200,125.140734
-200.0,200,125.4181
-200.0,200,125.695054
-200.0,200,125.989784
-200.0,200,126.274519
-200.0,200,126.554093
-200.0,200,126.832875
-200.0,200,127.113885
-200.0,200,127.394458
-200.0,200,127.675134
-200.0,200,127.949795
-200.0,200,128.23621
-200.0,200,128.525624
-200.0,200,128.826981
-200.0,200,129.133271
-200.0,200,129.428447
-200.0,200,129.714473
-200.0,200,130.001971
-166.0,166,130.250414
-200.0,200,130.543899
-200.0,200,130.864106
-200.0,200,131.185355
-200.0,200,131.471083
-200.0,200,131.76298
-200.0,200,132.050036
-200.0,200,132.336426
-200.0,200,132.624721
-200.0,200,132.902224
-200.0,200,133.195285
-200.0,200,133.477962
-200.0,200,133.754175
-200.0,200,134.034793
-200.0,200,134.312383
-200.0,200,134.595519
-200.0,200,134.880915
-200.0,200,135.18717
-200.0,200,135.485398
-200.0,200,135.780683
-200.0,200,136.081184
-200.0,200,136.383466
-200.0,200,136.680144
-200.0,200,136.979998
-200.0,200,137.268259
-200.0,200,137.548983
-200.0,200,137.824591
-200.0,200,138.10519
-200.0,200,138.382051
-200.0,200,138.663042
-200.0,200,138.943827
-200.0,200,139.231919
-200.0,200,139.511624
-200.0,200,139.789963
-200.0,200,140.076114
-200.0,200,140.353083
-200.0,200,140.625653
-200.0,200,140.904806
-200.0,200,141.190199
-200.0,200,141.464857
-200.0,200,141.746604
-200.0,200,142.02783
-200.0,200,142.316132
-200.0,200,142.604493
-200.0,200,142.898053
-200.0,200,143.196162
-200.0,200,143.487141
-200.0,200,143.782721
-200.0,200,144.076164
-200.0,200,144.368948
-200.0,200,144.663985
-200.0,200,144.950298
-200.0,200,145.252669
-200.0,200,145.54318
-200.0,200,145.83065
