#{"t_start": 1762054887.7547696, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,110.943644
-200.0,200,111.143107
-200.0,200,111.341944
-200.0,200,113.314529
-200.0,200,113.508695
-200.0,200,113.699656
-200.0,200,113.894707
-200.0,200,114.090825
-200.0,200,114.284474
-200.0,200,114.482185
-200.0,200,114.678599
-200.0,200,114.87371
-200.0,200,115.064695
-200.0,200,117.038964
-200.0,200,117.230771
-200.0,200,117.423262
-200.0,200,117.616235
-200.0,200,117.806477
-200.0,200,117.996995
-200.0,200,118.187049
-200.0,200,118.376885
-200.0,200,118.572094
-200.0,200,118.764449
-200.0,200,120.680548
-200.0,200,120.871344
-200.0,200,121.066124
-200.0,200,121.257066
-200.0,200,121.446963
-200.0,200,121.637055
-200.0,200,121.828197
-200.0,200,122.020856
-200.0,200,122.228412
-200.0,200,122.549999
-200.0,200,125.183593
-200.0,200,125.379146
-200.0,200,125.578089
-200.0,200,125.781335
-200.0,200,125.973994
-200.0,200,126.164094
-200.0,200,126.355216
-200.0,200,126.548111
-200.0,200,126.741673
-200.0,200,126.942382
-200.0,200,127.145554
-200.0,200,129.166801
-200.0,200,129.379208
-200.0,200,129.5797
-200.0,200,129.772635
-200.0,200,129.965908
-200.0,200,130.158224
-200.0,200,130.35078
-200.0,200,130.543285
-200.0,200,130.735819
-200.0,200,130.928813
-200.0,200,132.901963
-200.0,200,133.105287
-200.0,200,133.306012
-200.0,200,133.510272
-200.0,200,133.714737
-200.0,200,133.916122
-200.0,200,134.117021
-200.0,200,134.318032
-200.0,200,134.518303
-200.0,200,134.719423
-200.0,200,136.874833
-200.0,200,137.197089
-200.0,200,137.493034
-200.0,200,137.832386
-200.0,200,138.140051
-200.0,200,138.435853
-200.0,200,138.73966
-200.0,200,139.069887
-200.0,200,139.378386
-200.0,200,139.699401
-200.0,200,143.448326
-200.0,200,143.784856
-200.0,200,143.987203
-200.0,200,144.192685
-200.0,200,144.398626
-200.0,200,144.604167
-200.0,200,144.809504
-200.0,200,145.010663
-200.0,200,145.210715
-200.0,200,145.410778
-200.0,200,145.610792
-200.0,200,147.572223
-200.0,200,147.768076
-200.0,200,147.96219
-200.0,200,148.157271
-200.0,200,148.350565
-200.0,200,148.543355
-200.0,200,148.737089
-200.0,200,148.930132
-200.0,200,149.120869
-200.0,200,149.310169
-200.0,200,151.203734
-200.0,200,151.395499
-200.0,200,151.586828
-200.0,200,151.781228
-200.0,200,151.976372
-200.0,200,152.17063
-200.0,200,152.363524
-200.0,200,152.555936
-200.0,200,152.748564
-200.0,200,152.950284
-200.0,200,154.853626
-200.0,200,155.051121
-200.0,200,155.25114
-200.0,200,155.449061
-200.0,200,155.645665
-200.0,200,155.84301
-200.0,200,156.039686
-200.0,200,156.234781
