#{"t_start": 1762054610.8180823, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,123.180684
-200.0,200,123.574567
-200.0,200,123.968514
-200.0,200,124.355429
-200.0,200,124.746876
-200.0,200,125.138385
-200.0,200,125.52695
-200.0,200,125.916454
-200.0,200,126.299723
-200.0,200,126.699346
-200.0,200,127.088554
-200.0,200,127.476158
-200.0,200,127.859016
-200.0,200,128.249142
-200.0,200,128.640506
-200.0,200,129.028998
-200.0,200,129.414561
-200.0,200,129.806361
-200.0,200,130.193786
-200.0,200,130.581816
-200.0,200,130.968889
-200.0,200,131.353127
-200.0,200,131.73643
-200.0,200,132.125108
-200.0,200,132.51613
-200.0,200,132.90625
-200.0,200,133.292442
-200.0,200,133.680889
-200.0,200,134.088428
-200.0,200,134.479605
-200.0,200,134.86689
-200.0,200,135.250801
-200.0,200,135.638745
-200.0,200,136.028491
-200.0,200,136.414036
-200.0,200,136.801074
-200.0,200,137.185265
-200.0,200,137.567844
-200.0,200,137.953266
-200.0,200,138.339897
-200.0,200,138.723148
-200.0,200,139.111583
-200.0,200,139.499907
-200.0,200,139.887875
-200.0,200,140.274721
-200.0,200,140.657933
-200.0,200,141.046567
-200.0,200,141.435151
-200.0,200,141.823419
-200.0,200,142.204156
-200.0,200,142.585363
-200.0,200,142.966223
-200.0,200,143.3497
-200.0,200,143.733136
-200.0,200,144.127468
-200.0,200,144.522064
-200.0,200,144.91458
-200.0,200,145.321091
-200.0,200,145.714446
-200.0,200,146.112309
-200.0,200,146.509137
-200.0,200,146.906153
-200.0,200,147.304344
-200.0,200,147.70264
-200.0,200,148.103206
-200.0,200,148.500322
-200.0,200,148.899364
-200.0,200,149.292398
-200.0,200,149.68532
-200.0,200,150.085822
-200.0,200,150.498254
-200.0,200,150.904367
-200.0,200,151.300676
-200.0,200,151.692454
-200.0,200,152.092698
-200.0,200,152.48325
-200.0,200,152.87223
-200.0,200,153.262089
-200.0,200,153.649304
-200.0,200,154.040894
-200.0,200,154.430652
-200.0,200,154.817881
-200.0,200,155.2091
-200.0,200,155.601825
-200.0,200,155.996509
-200.0,200,156.386627
-200.0,200,156.805056
-200.0,200,157.49176
-200.0,200,158.177895
-200.0,200,158.876229
-200.0,200,159.608033
-200.0,200,160.299568
-200.0,200,161.00417
-200.0,200,161.718561
-200.0,200,162.483872
-200.0,200,163.008853
-200.0,200,163.390748
-200.0,200,163.775014
-200.0,200,164.163291
-200.0,200,164.547788
-200.0,200,164.93764
-200.0,200,165.337091
-200.0,200,165.734898
-200.0,200,166.149139
-200.0,200,166.556565
-200.0,200,166.949786
-200.0,200,167.346138
-200.0,200,167.736568
-200.0,200,168.131519
-200.0,200,168.522287
-200.0,200,168.908868
-200.0,200,169.292991
-200.0,200,169.676491
-200.0,200,170.066822
-200.0,200,170.455451
-200.0,200,170.8453
-200.0,200,171.243563
-200.0,200,171.635906
-200.0,200,172.022342
-200.0,200,172.41265
-200.0,200,172.799675
-200.0,200,173.185375
-200.0,200,173.572602
-200.0,200,173.961795
-200.0,200,174.360309
-200.0,200,174.761341
-200.0,200,175.170507
-200.0,200,175.579642
-200.0,200,175.968307
-200.0,200,176.358577
-200.0,200,176.743669
-200.0,200,177.129636
-200.0,200,177.548102
-200.0,200,177.967425
-200.0,200,178.401696
-200.0,200,178.796194
-200.0,200,179.199414
-200.0,200,179.600873
-200.0,200,180.001405
-200.0,200,180.394715
-200.0,200,180.798294
-200.0,200,181.205846
-200.0,200,181.681569
-200.0,200,182.173162
-200.0,200,182.640446
-200.0,200,183.11594
-200.0,200,183.593548
-200.0,200,184.066926
