#{"t_start": 1762006487.230533, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,105.108691
-200.0,200,105.496047
-200.0,200,105.90405
-200.0,200,106.297925
-200.0,200,106.723993
-200.0,200,107.102597
-200.0,200,107.489004
-200.0,200,107.87756
-200.0,200,108.266728
-200.0,200,108.670036
-200.0,200,109.061965
-200.0,200,109.446586
-200.0,200,109.831623
-200.0,200,110.220025
-200.0,200,110.606189
-200.0,200,110.988126
-200.0,200,111.372735
-200.0,200,111.75734
-200.0,200,112.427487
-200.0,200,112.832988
-200.0,200,113.238255
-200.0,200,113.62425
-200.0,200,114.017436
-200.0,200,114.412668
-200.0,200,114.804875
-200.0,200,115.195434
-200.0,200,115.592824
-200.0,200,115.989308
-200.0,200,116.393897
-200.0,200,116.801603
-200.0,200,117.197869
-200.0,200,117.598763
-200.0,200,117.999012
-200.0,200,118.399878
-200.0,200,118.801732
-200.0,200,119.201984
-200.0,200,119.644631
-200.0,200,120.04529
-200.0,200,120.444792
-200.0,200,120.839135
-200.0,200,121.228974
-200.0,200,121.625513
-200.0,200,122.054877
-200.0,200,122.494483
-200.0,200,122.886059
-200.0,200,123.277348
-200.0,200,123.663737
-200.0,200,124.043864
-200.0,200,124.443267
-200.0,200,124.834958
-200.0,200,125.221895
-200.0,200,125.609948
-200.0,200,125.999875
-200.0,200,126.379446
-200.0,200,126.779709
-200.0,200,127.208229
-200.0,200,127.61943
-200.0,200,128.020431
-200.0,200,128.405921
-200.0,200,128.78999
-200.0,200,129.217974
-200.0,200,129.623555
-200.0,200,130.070403
-200.0,200,130.489899
-200.0,200,130.921364
-200.0,200,131.323456
-200.0,200,131.718799
-200.0,200,132.104688
-200.0,200,132.514756
-200.0,200,132.906844
-200.0,200,133.294483
-200.0,200,133.678935
-200.0,200,134.083455
-200.0,200,134.493879
-200.0,200,134.900848
-200.0,200,135.341724
-200.0,200,135.739739
-200.0,200,136.143532
-200.0,200,136.526918
-200.0,200,136.908291
-200.0,200,137.300905
-200.0,200,137.683427
-200.0,200,138.091474
-200.0,200,138.51235
-200.0,200,138.916511
-200.0,200,139.326621
-200.0,200,139.716888
-200.0,200,140.115028
-200.0,200,140.506991
-200.0,200,140.896986
-200.0,200,141.292277
-200.0,200,141.678351
-200.0,200,142.066746
-200.0,200,142.450159
-200.0,200,142.851768
-200.0,200,143.237566
-200.0,200,143.622432
-200.0,200,144.005239
